points0.pts
zone0.inf
 66 136
 31
HK_QA0
HK_QA1
HK_QA2
HK_QA3
HK_QA4
HK_QA5
HK_QA6
HK_QA7
HK_QA8
HK_QA9
HK_QA10
HK_QA11
HK_QA12
HK_QA13
HK_QA14
HK_QA15
HK_QA16
HK_QA17
HK_QA18
HK_QA19
HK_QA20
HK_QA21
HK_QA22
HK_QA23
HK_QA24
HK_QA25
HK_QA26
HK_QA27
HK_QA28
HK_QA29
HK_QA30
 337 1 13 0.00000000E+00 2 0.664363682 1 0.331222445 3 -1.81808649E-03 4 8.41094088E-03 5 -1.11341255E-03 6 -1.02457381E-03 7 -7.21034943E-04 9 1.08930006E-04 8 -1.18453310E-04 10 -2.89883315E-06 11 -1.43465577E-05 12 2.84145266E-04 13 4.22665122E-04
 338 1 13 0.00000000E+00 2 0.577133477 1 0.342631698 3 2.16505304E-02 4 7.18660653E-02 5 -2.36490648E-03 6 2.56668827E-05 7 -4.62507783E-03 9 -2.74689170E-03 8 -6.94423390E-04 10 -7.66588782E-05 11 -6.68190251E-06 12 -6.39332808E-04 13 -2.15345249E-03
 339 1 13 0.00000000E+00 2 0.448445022 1 0.353066951 3 6.35089204E-02 4 0.152550176 5 -3.30498815E-03 6 -3.29348550E-04 7 -6.66776020E-03 9 -4.53292392E-03 8 -1.37906917E-03 10 2.29803787E-04 11 -2.30954916E-04 12 6.00215048E-04 13 -1.95602630E-03
 340 1 13 0.00000000E+00 2 0.344619751 1 0.345847428 3 8.56652707E-02 4 0.240848690 5 -3.21604242E-03 6 -1.80251722E-03 7 -7.43843568E-03 9 -5.46101108E-03 8 -1.90678018E-03 10 8.15562205E-04 11 -6.00038446E-04 12 2.93679046E-03 13 -3.08659743E-04
 341 1 13 0.00000000E+00 2 0.265401810 1 0.328092068 3 8.83897245E-02 4 0.331412077 5 -1.51188963E-03 6 -4.69839294E-03 7 -7.89655093E-03 9 -5.65934833E-03 8 -2.04445701E-03 10 1.65896001E-03 11 -1.04959006E-03 12 5.83446864E-03 13 2.07112869E-03
 342 1 13 0.00000000E+00 2 0.204007015 1 0.305230886 4 0.419966012 3 7.77576715E-02 5 2.76641478E-03 6 -9.36959591E-03 7 -8.72688275E-03 8 -1.59888656E-03 9 -5.22478810E-03 10 2.79972237E-03 11 -1.55756006E-03 12 9.10209678E-03 13 4.84789489E-03
 343 1 13 0.00000000E+00 4 0.501719475 2 0.155370459 1 0.280461937 3 5.93265295E-02 5 1.12339836E-02 6 -1.59402359E-02 7 -1.02141006E-02 8 -4.35214315E-04 9 -4.27406654E-03 10 4.31314437E-03 11 -2.15097284E-03 12 1.27197774E-02 13 7.86928181E-03
 344 1 13 0.00000000E+00 4 0.570456624 2 0.116388433 1 0.255954891 3 3.75067592E-02 5 2.63940543E-02 6 -2.41751354E-02 7 -1.23068467E-02 8 1.51773368E-03 9 -2.97158188E-03 10 6.29782071E-03 11 -2.90467474E-03 12 1.67654119E-02 13 1.10765006E-02
 345 1 13 0.00000000E+00 4 0.618599057 2 8.53440091E-02 5 5.14338426E-02 1 0.233456925 3 1.58151016E-02 6 -3.34469527E-02 7 -1.47275990E-02 8 4.27941559E-03 9 -1.53177511E-03 10 8.87135416E-03 11 -3.93553544E-03 12 2.13796422E-02 13 1.44624906E-02
 346 1 13 0.00000000E+00 4 0.639362812 5 8.88385922E-02 2 6.12765625E-02 1 0.214346156 3 -3.08833760E-03 6 -4.28658947E-02 7 -1.71125792E-02 8 7.87348300E-03 9 -1.82335891E-04 10 1.21600647E-02 11 -5.37924701E-03 12 2.67274547E-02 13 1.80432685E-02
 401 1 13 0.00000000E+00 2 0.539200425 1 0.235750005 3 0.233066678 4 -4.99619544E-02 5 -2.42767215E-04 7 1.56710465E-02 6 -8.16849247E-03 9 9.92234517E-03 8 -1.41568962E-04 10 1.22585334E-03 11 -1.11586670E-03 13 1.54580278E-02 12 9.33628064E-03
 402 1 13 0.00000000E+00 2 0.723293960 1 0.144920945 3 0.146550477 4 -3.11571360E-02 5 -4.09085565E-04 7 5.95474942E-03 6 -4.43302514E-03 9 4.55894275E-03 8 1.07034073E-04 10 4.98611655E-04 11 -4.21072240E-04 13 6.64824713E-03 12 3.88737675E-03
 403 1 13 0.00000000E+00 2 1.00000000 1 0.00000000E+00 3 0.00000000E+00 4 0.00000000E+00 5 0.00000000E+00 6 0.00000000E+00 7 0.00000000E+00 9 0.00000000E+00 8 0.00000000E+00 10 0.00000000E+00 11 0.00000000E+00 13 0.00000000E+00 12 0.00000000E+00
 404 1 13 0.00000000E+00 2 0.709075153 1 0.120731883 3 0.109255224 4 7.45282322E-02 5 -3.07058007E-03 6 2.41567800E-03 7 -3.85261863E-03 9 -3.35154240E-03 8 -1.12565781E-03 10 -3.50641843E-04 11 1.76209869E-05 12 -1.36523461E-03 13 -2.90748291E-03
