points0.pts
zone0.inf
 66 136
 31
SS_QA0
SS_QA1
SS_QA2
SS_QA3
SS_QA4
SS_QA5
SS_QA6
SS_QA7
SS_QA8
SS_QA9
SS_QA10
SS_QA11
SS_QA12
SS_QA13
SS_QA14
SS_QA15
SS_QA16
SS_QA17
SS_QA18
SS_QA19
SS_QA20
SS_QA21
SS_QA22
SS_QA23
SS_QA24
SS_QA25
SS_QA26
SS_QA27
SS_QA28
SS_QA29
SS_QA30
 343 1 11 0.00000000E+00 4 0.502216995 2 0.155552298 1 0.282863200 3 5.99524677E-02 5 1.25028854E-02 6 -1.71523057E-02 7 -1.01913689E-02 8 -1.18999358E-03 9 3.62980427E-05 10 1.16642555E-02 11 3.74530535E-03
 344 1 11 0.00000000E+00 4 0.571126103 2 0.116636805 1 0.259217143 3 3.83672565E-02 5 2.80927531E-02 6 -2.58145276E-02 7 -1.22704441E-02 8 5.01812960E-04 9 3.00950604E-03 10 1.60551220E-02 11 5.07843448E-03
 345 1 11 0.00000000E+00 4 0.619459450 2 8.56649056E-02 5 5.36126234E-02 1 0.237663656 3 1.69294272E-02 6 -3.55575792E-02 7 -1.46780908E-02 8 2.97379075E-03 9 6.23908453E-03 10 2.13467255E-02 11 6.34603621E-03
 346 1 11 0.00000000E+00 4 0.640437663 5 9.15609971E-02 2 6.16772734E-02 1 0.219600052 3 -1.69713388E-03 6 -4.55022790E-02 7 -1.70510244E-02 8 6.24237629E-03 9 9.51662753E-03 10 2.77524106E-02 11 7.46306125E-03
 401 1 11 0.00000000E+00 2 0.539453387 1 0.238849655 3 0.234013811 4 -4.94075380E-02 5 1.04893406E-03 7 1.57762785E-02 6 -9.63291060E-03 9 1.72069818E-02 8 -9.85314138E-04 10 7.55775999E-03 11 6.11893227E-03
 402 1 11 0.00000000E+00 2 0.723401904 1 0.146240830 3 0.146955505 4 -3.09221484E-02 5 1.36631832E-04 7 6.00050390E-03 6 -5.05535118E-03 9 7.68227549E-03 8 -2.50621175E-04 10 3.15554137E-03 11 2.65493710E-03
 403 1 11 0.00000000E+00 2 1.00000000 1 0.00000000E+00 3 0.00000000E+00 4 0.00000000E+00 5 0.00000000E+00 6 0.00000000E+00 7 0.00000000E+00 9 0.00000000E+00 8 0.00000000E+00 10 0.00000000E+00 11 0.00000000E+00
 404 1 11 0.00000000E+00 2 0.709030151 1 0.120189257 3 0.109084129 4 7.44345114E-02 5 -3.28354607E-03 6 2.66823103E-03 7 -3.87392449E-03 9 -4.69217310E-03 8 -9.82913887E-04 10 -1.33911928E-03 11 -1.23459462E-03
 405 1 11 0.00000000E+00 2 0.510737896 1 0.186802849 3 0.158538446 4 0.161149815 5 -5.58421481E-03 6 4.96596983E-03 7 -4.11493005E-03 9 -7.25055952E-03 8 -2.27550045E-03 10 -1.34051254E-03 11 -1.62926118E-03
 406 1 11 0.00000000E+00 2 0.376306772 1 0.216856018 3 0.168069795 4 0.255938560 5 -6.83795149E-03 6 5.95010631E-03 7 -2.96880538E-03 9 -8.09165742E-03 8 -3.46885715E-03 10 -3.56258592E-04 11 -1.39773579E-03
 407 1 11 0.00000000E+00 2 0.281603515 1 0.224707633 3 0.154300034 4 0.354733169 5 -6.78578252E-03 6 4.77571320E-03 7 -2.16612499E-03 9 -7.58779515E-03 8 -4.20216192E-03 10 1.34954846E-03 11 -7.27763632E-04
 408 1 11 0.00000000E+00 2 0.211454570 4 0.453741223 1 0.219619021 3 0.127941519 5 -4.74396162E-03 6 8.52685538E-04 7 -2.56428705E-03 8 -4.21870267E-03 9 -6.00101752E-03 10 3.66986240E-03 11 2.49088713E-04
 409 1 11 0.00000000E+00 4 0.548267484 2 0.157226592 1 0.207324013 3 9.56177786E-02 5 8.22708127E-04 6 -6.06116792E-03 7 -4.35585063E-03 8 -3.36102466E-03 9 -3.54279741E-03 10 6.63088588E-03 11 1.43134117E-03
 410 1 11 0.00000000E+00 4 0.630958319 2 0.114280477 1 0.191763356 3 6.18805140E-02 5 1.30558871E-02 6 -1.57188252E-02 7 -7.28848251E-03 8 -1.57214445E-03 9 -4.43506433E-04 10 1.03664054E-02 11 2.71796412E-03
 411 1 11 0.00000000E+00 4 0.690272152 5 3.74181643E-02 2 8.04446489E-02 1 0.176203102 3 3.05143166E-02 6 -2.72305701E-02 7 -1.08104898E-02 8 1.09157618E-03 9 3.00325360E-03 10 1.51057113E-02 11 3.98813374E-03
 468 1 11 0.00000000E+00 2 0.590842664 3 0.366515517 1 5.62757477E-02 4 -2.88520195E-02 5 -3.12113465E-04 7 7.63826398E-03 6 -5.86992316E-03 9 8.41700751E-03 8 -4.11996531E-04 10 3.19173979E-03 11 2.56510731E-03
 469 1 11 0.00000000E+00 2 0.664081931 3 0.329764098 1 -1.38047524E-03 4 1.08336089E-02 5 -1.55336305E-03 6 -6.53262134E-04 7 -1.08964345E-03 9 1.61755874E-04 8 -3.18906939E-04 10 2.82051387E-05 11 1.26077764E-04
 470 1 11 0.00000000E+00 2 0.575926960 3 0.326331884 1 2.91283149E-02 4 7.96524733E-02 5 -3.89341079E-03 6 5.68850106E-03 7 -2.31367769E-03 9 -5.54324454E-03 8 -1.58597191E-03 10 -1.86638942E-03 11 -1.52542058E-03
 471 1 11 0.00000000E+00 2 0.445960134 3 0.313392460 1 8.29712301E-02 4 0.168352872 5 -6.37820223E-03 6 1.20704314E-02 7 1.21592032E-03 9 -8.95930827E-03 8 -3.54893040E-03 10 -2.62942002E-03 11 -2.44720280E-03
 472 1 11 0.00000000E+00 2 0.340587884 3 0.279548436 1 0.119936071 4 0.267424613 5 -8.30568094E-03 6 1.67343486E-02 7 5.21145295E-03 9 -1.05466302E-02 8 -5.37267048E-03 10 -2.49816640E-03 11 -2.71965005E-03
