points0.pts
zone0.inf
 152 271
 38
PP0
PP1
PP2
PP3
PP4
PP5
PP6
PP7
PP8
PP9
PP10
PP11
PP12
PP13
PP14
PP15
PP16
PP17
PP18
PP19
PP20
PP21
PP22
PP23
PP24
PP25
PP26
PP27
PP28
PP29
PP30
PP31
PP32
PP33
PP34
PP35
PP36
PP37
 784 1 11 0.00000000E+00 1 0.550974309 3 0.378221303 2 8.73946026E-02 4 -3.72240879E-02 5 1.91686545E-02 6 -4.92084818E-03 7 5.90225449E-03 8 4.16638050E-03 9 -3.85396695E-03 10 -3.34390206E-03 11 3.51530057E-03
 785 1 11 0.00000000E+00 1 0.535335302 3 0.414622962 2 5.68673722E-02 4 -4.41339724E-02 5 3.07935905E-02 6 -5.54176280E-03 7 8.18782207E-03 8 5.92295686E-03 9 -4.72042570E-03 10 -3.67603451E-03 11 6.34218007E-03
 786 1 11 0.00000000E+00 1 0.518994093 3 0.443244100 2 3.17663141E-02 4 -5.07901087E-02 5 4.45657633E-02 6 -6.08984195E-03 7 1.07448604E-02 8 7.84596987E-03 9 -5.67054283E-03 10 -4.02515521E-03 11 9.41451453E-03
 923 1 11 0.00000000E+00 2 0.705118358 1 0.247929528 4 9.51881558E-02 3 -8.04681703E-02 5 -1.31238904E-02 6 -3.11920629E-03 7 2.62929080E-03 9 1.58312600E-04 8 5.70787396E-03 10 8.75735376E-03 11 3.12224086E-02
 924 1 11 0.00000000E+00 2 0.727208972 1 0.249854013 4 6.82167709E-02 3 -6.86974302E-02 5 -1.16570676E-02 6 -2.68358621E-03 7 2.00821622E-03 9 5.12372972E-05 8 4.57309978E-03 10 6.64383639E-03 11 2.44819354E-02
 925 1 11 0.00000000E+00 2 0.741430223 1 0.255282819 4 4.12502699E-02 3 -5.32824360E-02 5 -1.01872003E-02 6 -2.21604388E-03 7 1.41643966E-03 9 -2.58423206E-05 8 3.47919180E-03 10 4.69906209E-03 11 1.81535110E-02
 926 1 11 0.00000000E+00 2 0.740553319 1 0.267018616 3 -3.26004624E-02 4 1.72228850E-02 5 -8.98177922E-03 6 -1.80174806E-03 7 8.56088707E-04 9 -9.75716030E-05 8 2.44687824E-03 10 2.96784285E-03 11 1.24159558E-02
 927 1 11 0.00000000E+00 2 0.716018796 1 0.288265347 3 -4.73808963E-03 4 -2.48490600E-04 5 -8.35856982E-03 6 -1.55214686E-03 7 3.31484858E-04 8 1.50719879E-03 9 -2.01137664E-04 10 1.49483839E-03 11 7.48077221E-03
 928 1 11 0.00000000E+00 2 0.664118052 1 0.319887191 3 3.13009433E-02 4 -9.33447853E-03 5 -8.43170378E-03 6 -1.53431890E-03 7 -1.33477122E-04 8 6.96095172E-04 9 -3.62251798E-04 10 2.99881649E-04 11 3.49410553E-03
 929 1 11 0.00000000E+00 2 0.590704143 1 0.358312875 3 7.46722817E-02 4 -1.18732341E-02 5 -8.91142990E-03 6 -1.71846221E-03 7 -4.83779586E-04 8 5.26717304E-05 9 -5.79385320E-04 10 -6.35303033E-04 11 4.59646515E-04
 930 1 11 0.00000000E+00 2 0.506544530 1 0.397569776 3 0.123580128 4 -1.14853764E-02 5 -9.28076729E-03 6 -2.03025551E-03 7 -6.46794972E-04 8 -3.74987489E-04 9 -8.41073866E-04 10 -1.35358761E-03 11 -1.68161141E-03
 931 1 11 0.00000000E+00 2 0.421054691 1 0.432186902 3 0.176377222 4 -1.10799652E-02 5 -9.03064013E-03 6 -2.42148596E-03 7 -5.45158924E-04 8 -5.33586077E-04 9 -1.14744052E-03 10 -1.90172473E-03 11 -2.95882765E-03
 932 1 11 0.00000000E+00 1 0.458404005 2 0.340515703 3 0.231614515 4 -1.22475708E-02 5 -7.71209178E-03 6 -2.87620351E-03 7 -1.15706738E-04 8 -3.72602168E-04 9 -1.51206052E-03 10 -2.32246798E-03 11 -3.37550626E-03
 933 1 11 0.00000000E+00 1 0.474581480 2 0.268393815 3 0.287614763 4 -1.55427875E-02 5 -4.90687741E-03 6 -3.39086982E-03 7 6.82167301E-04 8 1.33551381E-04 9 -1.95218122E-03 10 -2.65472406E-03 11 -2.95835850E-03
 934 1 11 0.00000000E+00 1 0.481183320 2 0.205967203 3 0.342212647 4 -2.08329745E-02 5 -2.04582582E-04 6 -3.95859499E-03 7 1.86007842E-03 8 9.77216288E-04 9 -2.48276046E-03 10 -2.93310452E-03 11 -1.78843248E-03
 935 1 11 0.00000000E+00 1 0.480145872 3 0.392895222 2 0.153088748 4 -2.75894422E-02 5 6.78513804E-03 6 -4.56358911E-03 7 3.40725551E-03 8 2.12523155E-03 9 -3.11391591E-03 10 -3.18815792E-03 11 7.64131619E-06
 936 1 11 0.00000000E+00 1 0.473937184 3 0.437223107 2 0.108940095 4 -3.51299010E-02 5 1.63819958E-02 6 -5.18260803E-03 7 5.30285761E-03 8 3.53464228E-03 9 -3.85252596E-03 10 -3.44597083E-03 11 2.29111454E-03
 937 1 11 0.00000000E+00 3 0.473294705 1 0.464823902 2 7.25235492E-02 4 -4.28038351E-02 5 2.87470538E-02 6 -5.78655582E-03 7 7.52656115E-03 8 5.16479695E-03 9 -4.70082182E-03 10 -3.72819137E-03 11 4.93883714E-03
 938 1 11 0.00000000E+00 3 0.500076771 1 0.454527557 2 4.28535454E-02 4 -5.01080528E-02 5 4.37946506E-02 6 -6.33724034E-03 7 1.00582261E-02 8 6.98538357E-03 9 -5.65663213E-03 10 -4.04751860E-03 11 7.85330869E-03
 939 1 11 0.00000000E+00 3 0.517506182 1 0.444167018 2 1.89909935E-02 4 -5.67355454E-02 5 6.11621626E-02 6 -6.78986870E-03 7 1.28821880E-02 8 8.97230394E-03 9 -6.71128323E-03 10 -4.40830924E-03 11 1.09641505E-02
